pmcid,pmid,doi,year,journal,title,authors,citation_count,rcr,terms_matched
PMC5918234,29327467,10.1002/stem.2776,2018,"Stem cells (Dayton, Ohio)",ERBB3-Binding Protein 1 (EBP1) Is a Novel Developmental Pluripotency-Associated-4 (DPPA4) Cofactor in Human Pluripotent Cells.,"Somanath P, Bush KM, Knoepfler PS",12,0.45305718394443023,"""UC Davis Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC4252830,25173592,10.1016/j.ibmb.2014.08.004,2014,Insect biochemistry and molecular biology,Expression and characterization of an epoxide hydrolase from Anopheles gambiae with high activity on epoxy fatty acids.,"Xu J, Morisseau C, Hammock BD",12,0.43268685478906027,"""UC Davis Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC3431436,22537066,10.1021/bc300114d,2012,Bioconjugate chemistry,Enhancing peptide ligand binding to vascular endothelial growth factor by covalent bond formation.,"Marquez BV, Beck HE, Aweda TA",12,0.3399621107729718,"""UC Davis Proteomics Core""; ""UC Davis Proteomics Core Facility""; (""Proteomics Core"" AND ""UC Davis"")"
PMC6570467,31231467,10.18632/oncotarget.26995,2019,Oncotarget,Prioritization of metabolic genes as novel therapeutic targets in estrogen-receptor negative breast tumors using multi-omics data and text mining.,"Barupal DK, Gao B, Budczies J",12,0.5156603677556977,"""Brett S. Phinney"""
PMC5567846,28648685,10.1016/j.jprot.2017.06.017,2017,Journal of proteomics,Proteomic profiling of Pachyonychia congenita plantar callus.,"Rice RH, Durbin-Johnson BP, Salemi M",12,0.45174685866684144,"""Brett S. Phinney"""
PMC3059538,21455478,,2011,Journal of biomolecular techniques : JBT,ABRF-PRG07: advanced quantitative proteomics study.,"Falick AM, Lane WS, Lilley KS",12,0.2843912609610832,"""Brett S. Phinney"""
PMC12043086,40309777,10.1172/JCI173354,2025,The Journal of clinical investigation,Collagen type VI regulates TGF-β bioavailability in skeletal muscle in mice.,"Mohassel P, Hearn H, Rooney J",12,5.998849542041269,"(""Proteomics Core"" AND ""UC Davis"")"
PMC11488691,39182224,10.1016/j.celrep.2024.114666,2024,Cell reports,The RNA-binding protein EIF4A3 promotes axon development by direct control of the cytoskeleton.,"Alsina FC, Lupan BM, Lin LJ",12,1.7214161935696275,"(""Proteomics Core"" AND ""UC Davis"")"
PMC10558758,37808283,10.3389/fmicb.2023.1264348,2023,Frontiers in microbiology,"Characterization of the extracellular vesicles, ultrastructural morphology, and intercellular interactions of multiple clinical isolates of the brain-eating amoeba, Naegleria fowle","Russell AC, Bush P, Grigorean G",12,2.5015100042426677,"(""Proteomics Core"" AND ""UC Davis"")"
PMC8319151,34214491,10.1016/j.devcel.2021.06.012,2021,Developmental cell,SUMO fosters assembly and functionality of the MutSγ complex to facilitate meiotic crossing over.,"He W, Verhees GF, Bhagwat N",11,0.5945884091478878,"""UC Davis Proteomics Core""; ""Brett Phinney""; (""Proteomics Core"" AND ""UC Davis"")"
PMC7593943,33050347,10.3390/ijms21207453,2020,International journal of molecular sciences,Proteome Analysis of Walnut Bacterial Blight Disease.,"H D Sagawa C, de A B Assis R, Zaini PA",11,0.8273620414945828,"""UC Davis Proteomics Core""; ""UC Davis Proteomics Core Facility""; S10OD021801; ""Brett S. Phinney""; (""Proteomics Core"" AND ""UC Davis"")"
PMC6658876,31379912,10.3389/fpls.2019.00936,2019,Frontiers in plant science,Tomato Dynamin Related Protein 2A Associates With LeEIX2 and Enhances PRR Mediated Defense by Modulating Receptor Trafficking.,"Pizarro L, Leibman-Markus M, Schuster S",11,0.5700845134136728,"""UC Davis Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC3031961,21219455,10.1111/j.1365-2958.2010.07467.x,2011,Molecular microbiology,Deletion of the RluD pseudouridine synthase promotes SsrA peptide tagging of ribosomal protein S7.,"Schaub RE, Hayes CS",11,0.2615870335986006,"""UC Davis Proteomics Core""; ""UC Davis Proteomics Core Facility""; (""Proteomics Core"" AND ""UC Davis"")"
PMC2922831,20808644,,2010,Journal of biomolecular techniques : JBT,A comparative study of in-gel digestions using microwave and pressure-accelerated technologies.,"Alvarado R, Tran D, Ching B",11,0.27631546307598603,"""UC Davis Proteomics Core""; ""UC Davis Proteomics Core Facility""; ""Brett S. Phinney""; (""Proteomics Core"" AND ""UC Davis"")"
PMC5387067,28443071,10.3389/fmicb.2017.00553,2017,Frontiers in microbiology,Deletion of Lipoteichoic Acid Synthase Impacts Expression of Genes Encoding Cell Surface Proteins in Lactobacillus acidophilus.,"Selle K, Goh YJ, Johnson BR",11,0.5699070716734999,"""University of California Davis Proteomics Core""; ""Brett Phinney"""
PMC4981550,27396729,10.1039/c6fo00731g,2016,Food & function,Antibody-independent identification of bovine milk-derived peptides in breast-milk.,"Picariello G, Addeo F, Ferranti P",11,0.5626314361910466,"""Brett Phinney"""
PMC5103273,27830745,10.1038/srep36854,2016,Scientific reports,Evidence that ferritin is associated with light production in the mucus of the marine worm Chaetopterus.,"Rawat R, Deheyn DD",11,0.47899880432553504,"""Brett Phinney"""
PMC3247252,22216214,10.1371/journal.pone.0029210,2011,PloS one,Phosphorylation and activation of the plasma membrane Na+/H+ exchanger (NHE1) during osmotic cell shrinkage.,"Rigor RR, Damoc C, Phinney BS",11,0.28195444607884734,"""Brett S. Phinney"""
PMC9337631,35905092,10.1371/journal.pone.0263954,2022,PloS one,Comparative performance of two automated machine learning platforms for COVID-19 detection by MALDI-TOF-MS.,"Rashidi HH, Pepper J, Howard T",11,1.3629940443671253,"(""Proteomics Core"" AND ""UC Davis"")"
PMC4954571,26889602,10.1080/19336950.2016.1153203,2016,"Channels (Austin, Tex.)",Proteomic analysis of native cerebellar iFGF14 complexes.,"Bosch MK, Nerbonne JM, Townsend RR",11,0.4521735528929576,"(""Proteomics Core"" AND ""UC Davis"")"
PMC11178448,38596830,10.1002/adbi.202300577,2024,Advanced biology,Extracellular Vesicles from Highly Metastatic Osteosarcoma Cells Induce Pro-Tumorigenic Macrophage Phenotypes.,"Griffin KH, Mizenko RR, Arun V",10,1.701732460145272,"""UC Davis Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC9415861,33900070,10.1021/acs.chemrestox.0c00488,2021,Chemical research in toxicology,"Effects of Chlorpyrifos on Serine Hydrolase Activities, Lipid Mediators, and Immune Responses in Lungs of Neonatal and Adult Mice.","Szafran BN, Borazjani A, Seay CN",10,0.928741827460175,"""UC Davis Proteomics Core""; ""UC Davis Proteomics Core Facility""; (""Proteomics Core"" AND ""UC Davis"")"
PMC8104114,33597212,10.1128/JVI.02049-20,2021,Journal of virology,Proximity Biotin Labeling Reveals Kaposi's Sarcoma-Associated Herpesvirus Interferon Regulatory Factor Networks.,"Kumar A, Salemi M, Bhullar R",10,0.6349175072347415,"""UC Davis Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC7555403,32942709,10.3390/ijms21186769,2020,International journal of molecular sciences,"Xylella fastidiosa subsp. pauca Strains Fb7 and 9a5c from Citrus Display Differential Behavior, Secretome, and Plant Virulence.","de Souza JB, Almeida-Souza HO, Zaini PA",10,0.8208868873407069,"""UC Davis Proteomics Core""; ""Brett Phinney""; (""Proteomics Core"" AND ""UC Davis"")"
PMC5605880,28951887,10.1128/mSystems.00027-17,2017,mSystems,Proteomes of Lactobacillus delbrueckii subsp. bulgaricus LBB.B5 Incubated in Milk at Optimal and Low Temperatures.,"Yin X, Salemi MR, Phinney BS",10,0.6003136091592752,"""UC Davis Proteomics Core""; ""UC Davis Proteomics Core Facility""; ""Proteomics Core at UC Davis""; ""Brett S. Phinney""; (""Proteomics Core"" AND ""UC Davis"")"
PMC7760677,33261033,10.3390/life10120314,2020,"Life (Basel, Switzerland)",Comparative Proteomic Analysis of Walnut (Juglans regia L.) Pellicle Tissues Reveals the Regulation of Nut Quality Attributes.,"Zaini PA, Feinberg NG, Grilo FS",10,0.8252789992445677,"S10OD021801; ""Brett S. Phinney"""
PMC8820840,34246154,10.1016/j.psyneuen.2021.105340,2021,Psychoneuroendocrinology,Patterns of poverty across adolescence predict salivary cortisol stress responses in Mexican-origin youths.,"Johnson LE, Parra LA, Ugarte E",10,1.0429013912308407,"(""Proteomics Core"" AND ""UC Davis"")"
PMC7923792,33672517,10.3390/ani11020555,2021,Animals : an open access journal from MDPI,"Effect of a Phytogenic Water Additive on Growth Performance, Blood Metabolites and Gene Expression of Amino Acid Transporters in Nursery Pigs Fed with Low-Protein/High-Carbohydrate","Shili CN, Habibi M, Sutton J",10,1.1092758007550874,"(""Proteomics Core"" AND ""UC Davis"")"
PMC11706607,39773872,10.7554/eLife.100928,2025,eLife,Noncanonical roles of ATG5 and membrane atg8ylation in retromer assembly and function.,"Paddar MA, Wang F, Trosdal ES",9,4.497787399511771,"S10OD021801; ""Brett S. Phinney"""
PMC11905455,40082954,10.1186/s13024-025-00817-0,2025,Molecular neurodegeneration,Probe-dependent Proximity Profiling (ProPPr) Uncovers Similarities and Differences in Phospho-Tau-Associated Proteomes Between Tauopathies.,"Morderer D, Wren MC, Liu F",9,4.498285488253018,"""Brett S. Phinney"""
PMC8717607,34808356,10.1016/j.mcpro.2021.100180,2022,Molecular & cellular proteomics : MCP,Metabolic Enzyme Alterations and Astrocyte Dysfunction in a Murine Model of Alexander Disease With Severe Reactive Gliosis.,"Heaven MR, Herren AW, Flint DL",9,0.8457837704028529,"""Brett S. Phinney"""
PMC10603660,37893908,10.3390/ani13203184,2023,Animals : an open access journal from MDPI,"Multi-Omic, Histopathologic, and Clinicopathologic Effects of Once-Weekly Oral Rapamycin in a Naturally Occurring Feline Model of Hypertrophic Cardiomyopathy: A Pilot Study.","Rivas VN, Kaplan JL, Kennedy SA",9,1.8352152353420057,"(""Proteomics Core"" AND ""UC Davis"")"
PMC8918536,35295854,10.3389/fcell.2022.838871,2022,Frontiers in cell and developmental biology,Lyn Phosphorylates and Controls ROR1 Surface Dynamics During Chemotaxis of CLL Cells.,"Dave Z, Vondálová Blanářová O, Čada Š",9,0.7940738672672121,"(""Proteomics Core"" AND ""UC Davis"")"
PMC8339902,34366899,10.3389/fphys.2021.712694,2021,Frontiers in physiology,Blood Plasma Biomarkers for Woody Breast Disease in Commercial Broilers.,"Kong B, Khatri B, Kang S",9,0.8891216617915096,"(""Proteomics Core"" AND ""UC Davis"")"
PMC9782315,36350013,10.1021/acs.bioconjchem.2c00361,2022,Bioconjugate chemistry,Site-Specific Albumin-Selective Ligation to Human Serum Albumin under Physiological Conditions.,"Yu X, Ruan M, Wang Y",8,0.8976033561785958,"""UC Davis Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC9511166,36172011,10.3389/fbioe.2022.962292,2022,Frontiers in bioengineering and biotechnology,Plant-based production and characterization of a promising Fc-fusion protein against microgravity-induced bone density loss.,"Xiong Y, Hirano H, Lane NE",8,0.9722040356421028,"""UC Davis Proteomics Core""; ""UC Davis Proteomics Core Facility""; (""Proteomics Core"" AND ""UC Davis"")"
PMC9073673,35404452,10.1093/g3journal/jkac085,2022,"G3 (Bethesda, Md.)",Inducible degradation of dosage compensation protein DPY-27 facilitates isolation of Caenorhabditis elegans males for molecular and biochemical analyses.,"Li Q, Kaur A, Mallory B",8,0.6388170042243263,"""University of California Davis Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC10813618,37876292,10.1080/15548627.2023.2273703,2024,Autophagy,The role of ATG5 beyond Atg8ylation and autophagy.,"Wang F, Trosdal ES, Paddar MA",8,1.4052742428786995,"""Proteomics Core at UC Davis""; S10OD021801; (""Proteomics Core"" AND ""UC Davis"")"
PMC10936166,38376248,10.1128/mbio.03302-23,2024,mBio,Host E3 ubiquitin ligase ITCH mediates Toxoplasma gondii effector GRA35-triggered NLRP1 inflammasome activation and cell-autonomous immunity.,"Wang Y, Hollingsworth LR, Sangaré LO",8,1.645332657922997,"(""Proteomics Core"" AND ""UC Davis"")"
PMC4408443,25967741,10.3402/jev.v4.27783,2015,Journal of extracellular vesicles,"The Fourth International Meeting of ISEV, ISEV2015.",,8,0.28159956500948774,"(""Proteomics Core"" AND ""UC Davis"")"
PMC2678040,19389854,10.1681/ASN.2008050555,2009,Journal of the American Society of Nephrology : JASN,Reactive immunization suppresses advanced glycation and mitigates diabetic nephropathy.,"Shcheglova T, Makker S, Tramontano A",8,0.20285392923453496,"(""Proteomics Core"" AND ""UC Davis"")"
PMC10939962,37921263,10.1002/jcp.31147,2024,Journal of cellular physiology,Combined analysis of secreted proteins and glycosylation identifies prognostic features in cholangiocarcinoma.,"Park DD, Xu G, Park SS",7,1.8112710599848925,"""UC Davis Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC9585515,36281299,10.1021/acsbiomedchemau.2c00018,2022,ACS bio & med chem Au,"Characterization of LipS1 and LipS2 from Thermococcus kodakarensis: Proteins Annotated as Biotin Synthases, which Together Catalyze Formation of the Lipoyl Cofactor.","Neti SS, Sil D, Warui DM",7,0.7088082971787096,"""UC Davis Proteomics Core""; ""UC Davis Proteomics Core Facility""; (""Proteomics Core"" AND ""UC Davis"")"
PMC4837889,26008612,10.1016/j.exppara.2015.05.010,2015,Experimental parasitology,Protein phosphorylation during Plasmodium berghei gametogenesis.,"Alonso-Morales A, González-López L, Cázares-Raga FE",7,0.23261067724234824,"""UC Davis Proteomics Core""; ""UC Davis Proteomics Core Facility""; (""Proteomics Core"" AND ""UC Davis"")"
PMC7323579,31943634,10.1002/cbic.201900736,2020,Chembiochem : a European journal of chemical biology,Versatile 3' Functionalization of CRISPR Single Guide RNA.,"Palumbo CM, Gutierrez-Bujari JM, O'Geen H",7,0.329905723361493,"""University of California Davis Proteomics Core"""
PMC7031270,32076005,10.1038/s41598-020-59577-0,2020,Scientific reports,Deducing signaling pathways from parallel actions of arsenite and antimonite in human epidermal keratinocytes.,"Phillips MA, Cánovas A, Rea MA",7,0.4881693434393148,"""University of California Davis Proteomics Core""; ""Brett Phinney"""
PMC10853725,38110836,10.1002/advs.202308537,2024,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Engrailed-1 Promotes Pancreatic Cancer Metastasis.,"Xu J, Roe JS, Lee E",7,0.8294617663683884,"""UC Davis Genome Center Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC2567133,19137115,,2008,Journal of biomolecular techniques : JBT,ABRF-PRG05: de novo peptide sequence determination.,"Falick AM, Kowalak JA, Lane WS",7,0.1518091162821347,"""Brett S. Phinney"""
PMC11535203,39496591,10.1038/s41467-024-53784-3,2024,Nature communications,Genome-guided isolation of the hyperthermophilic aerobe Fervidibacter sacchari reveals conserved polysaccharide metabolism in the Armatimonadota.,"Nou NO, Covington JK, Lai D",7,1.5341867756041754,"(""Proteomics Core"" AND ""UC Davis"")"
PMC12026901,40291645,10.1101/2025.04.07.646890,2025,bioRxiv : the preprint server for biology,Context-dependent Interactors Regulate TDP-43 Dysfunction in ALS/FTLD.,"Xie L, Zhu Y, Hurtle BT",6,2.9986705065424646,"""UC Davis Proteomics Core""; ""UC Davis Proteomics Core Facility""; (""Proteomics Core"" AND ""UC Davis"")"
PMC11317574,39074265,10.1073/pnas.2404770121,2024,Proceedings of the National Academy of Sciences of the United States of America,The RPD3L deacetylation complex is required for facultative heterochromatin repression in Neurospora crassa.,"Mumford CC, Tanizawa H, Wiles ET",6,0.9661427873823815,"""UC Davis Proteomics Core""; ""University of California Davis Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC8079021,33857138,10.1371/journal.pgen.1009521,2021,PLoS genetics,Dynamic post-transcriptional regulation by Mrn1 links cell wall homeostasis to mitochondrial structure and function.,"Reynaud K, Brothers M, Ly M",6,0.3461518731541624,"""UC Davis Proteomics Core""; ""UC Davis Proteomics Core Facility""; (""Proteomics Core"" AND ""UC Davis"")"
PMC8451149,34544457,10.1186/s13046-021-02099-y,2021,Journal of experimental & clinical cancer research : CR,A cancer-unique glycan: de-N-acetyl polysialic acid (dPSA) linked to cell surface nucleolin depends on re-expression of the fetal polysialyltransferase ST8SIA2 gene.,"Moe GR, Steirer LM, Lee JA",6,0.36906935872343416,"""University of California Davis Proteomics Core"""
PMC6637869,30575252,10.1111/mpp.12780,2019,Molecular plant pathology,Rescue of Citrus sudden death-associated virus in Nicotiana benthamiana plants from cloned cDNA: insights into mechanisms of expression of the three capsid proteins.,"Matsumura EE, Coletta-Filho HD, Machado MA",6,0.3313509948809666,"""University of California Davis Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC10561125,37657519,10.1016/j.mcpro.2023.100639,2023,Molecular & cellular proteomics : MCP,A Multipathway Phosphopeptide Standard for Rapid Phosphoproteomics Assay Development.,"Searle BC, Chien A, Koller A",6,0.8076056025427542,"""UC Davis Genome Center Proteomics Core""; ""Brett Phinney""; (""Proteomics Core"" AND ""UC Davis"")"
PMC10977726,38547072,10.1371/journal.pone.0299804,2024,PloS one,A phage-displayed disulfide constrained peptide discovery platform yields novel human plasma protein binders.,"Gao X, Kaluarachchi H, Zhang Y",6,1.3950224142658199,"""Proteomics Core Facility at UC Davis""; (""Proteomics Core"" AND ""UC Davis"")"
PMC2653427,18952512,10.1016/j.jchromb.2008.10.016,2008,"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences",Demonstration of the interaction of transforming growth factor beta 2 and type X collagen using a modified tandem affinity purification tag.,"Yang M, Wang X, Zhang L",6,0.1276560284576145,"""Brett Phinney"""
PMC11300456,39103353,10.1038/s41467-024-50459-x,2024,Nature communications,Proteostasis perturbation of N-Myc leveraging HSP70 mediated protein turnover improves treatment of neuroendocrine prostate cancer.,"Xu P, Yang JC, Chen B",6,0.907814209928447,"(""Proteomics Core"" AND ""UC Davis"")"
PMC9982685,36848757,10.1016/j.psj.2023.102525,2023,Poultry science,"Lactobacillus (L. plantarum & L. rhamnosus) and Saccharomyces (S. cerevisiae): effects on performance, biochemical parameters, ammonium ion in manure, and digestibility of broiler ","Leal K, Truong L, Maga E",6,1.196417304556821,"(""Proteomics Core"" AND ""UC Davis"")"
PMC9746579,36512139,10.1007/s11306-022-01957-w,2022,Metabolomics : Official journal of the Metabolomic Society,Providing metabolomics education and training: pedagogy and considerations.,"Winder CL, Witting M, Tugizimana F",6,0.5639756706311138,"(""Proteomics Core"" AND ""UC Davis"")"
PMC9347691,35657481,10.1002/biot.202100678,2022,Biotechnology journal,Production of novel SARS-CoV-2 Spike truncations in Chinese hamster ovary cells leads to high expression and binding to antibodies.,"Minami SA, Jung S, Huang Y",6,0.5857593846430632,"(""Proteomics Core"" AND ""UC Davis"")"
PMC7279522,32233506,10.1021/acsinfecdis.0c00005,2020,ACS infectious diseases,Targeted Amino Acid Substitution Overcomes Scale-Up Challenges with the Human C5a-Derived Decapeptide Immunostimulant EP67.,"Alshammari AM, Smith DD, Parriott J",6,0.28566576664419513,"(""Proteomics Core"" AND ""UC Davis"")"
PMC3864130,24012855,10.1016/j.clinbiochem.2013.08.016,2013,Clinical biochemistry,A bioassay for Lafora disease and laforin glucan phosphatase activity.,"Sherwood AR, Johnson MB, Delgado-Escueta AV",6,0.1787014702608014,"(""Proteomics Core"" AND ""UC Davis"")"
PMC2999572,20735256,10.1089/hum.2010.065,2010,Human gene therapy,α-Fetoprotein gene delivery to the nasal epithelium of nonhuman primates by human parainfluenza viral vectors.,"Zhang L, Limberis MP, Thompson C",6,0.12683201315752035,"(""Proteomics Core"" AND ""UC Davis"")"
PMC11922789,39304982,10.1111/jfd.14017,2025,Journal of fish diseases,Temperature-dependent alterations in the proteome of the emergent fish pathogen Edwardsiella piscicida.,"Jacobsen KL, Griffin M, Phinney BS",5,2.5001691271786024,"""UC Davis Proteomics Core""; ""UC Davis Proteomics Core Facility""; ""Brett S. Phinney""; (""Proteomics Core"" AND ""UC Davis"")"
PMC11349083,36343671,10.1016/j.exer.2022.109303,2023,Experimental eye research,Cell derived matrices from bovine corneal endothelial cells as a model to study cellular dysfunction.,"Jalilian I, Muppala S, Ali M",5,0.9467243625032411,"""UC Davis Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC10963785,38528039,10.1038/s41598-024-57096-w,2024,Scientific reports,Semen proteome and transcriptome of the endangered black-footed ferret (Mustela nigripes) show association with the environment and fertility outcome.,"Ali N, Amelkina O, Santymire RM",5,1.515739088244972,"""UC Davis Proteomics Core""; (""Proteomics Core"" AND ""UC Davis"")"
PMC10708181,38064566,10.1126/sciadv.adj4884,2023,Science advances,In vivo protein turnover rates in varying oxygen tensions nominate MYBBP1A as a mediator of the hyperoxia response.,"Chen X, Haribowo AG, Baik AH",5,0.41554576339339794,"""UC Davis Proteomics Core""; ""UC Davis Proteomics Core Facility""; (""Proteomics Core"" AND ""UC Davis"")"
PMC9349260,35922450,10.1038/s41598-022-16598-1,2022,Scientific reports,Methods to capture proteomic and metabolomic signatures from cerebrospinal fluid and serum of healthy individuals.,"Lilley LM, Sanche S, Moore SC",5,0.48091492361500693,"""UC Davis Proteomics Core""; S10OD021801; (""Proteomics Core"" AND ""UC Davis"")"
